,Tweet ID,User,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Date
136,1005982948745609216,CBS,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!,0.9151,0.457,0.543,0.0,37,Mon Jun 11 01:19:59 +0000 2018
137,1005981070095888384,CBS,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,0.6369,0.375,0.625,0.0,38,Mon Jun 11 01:12:31 +0000 2018
138,1005980047516188672,CBS,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,0.1511,0.102,0.898,0.0,39,Mon Jun 11 01:08:28 +0000 2018
139,1005980030449508353,CBS,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,0.1531,0.148,0.852,0.0,40,Mon Jun 11 01:08:24 +0000 2018
140,1005978618554535937,CBS,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,0.8834,0.563,0.437,0.0,41,Mon Jun 11 01:02:47 +0000 2018
141,1005977438969458688,CBS, @joshgroban and @SaraBareilles are Host Goals. ,0.0,0.0,1.0,0.0,42,Mon Jun 11 00:58:06 +0000 2018
142,1005976046405992449,CBS,RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,0.2714,0.207,0.793,0.0,43,Mon Jun 11 00:52:34 +0000 2018
143,1005975699272814592,CBS,Who lives in a pineapple and just performed at The Tonys? ,0.0,0.0,1.0,0.0,44,Mon Jun 11 00:51:11 +0000 2018
144,1005975478300110848,CBS, @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,0.8478,0.506,0.494,0.0,45,Mon Jun 11 00:50:18 +0000 2018
145,1005974199880445952,CBS,A big congratulations to @springsteen for his Special Tony award! ,0.8858,0.565,0.435,0.0,46,Mon Jun 11 00:45:14 +0000 2018
146,1005974043713912832,CBS,Can the 73rd annual #TonyAwards just be three,0.0,0.0,1.0,0.0,47,Mon Jun 11 00:44:36 +0000 2018
147,1005971798687506432,CBS,RT @CBSThisMorning: ,0.25,0.08,0.92,0.0,48,Mon Jun 11 00:35:41 +0000 2018
148,1005971562032328704,CBS,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica ,0.4588,0.167,0.833,0.0,49,Mon Jun 11 00:34:45 +0000 2018
149,1005970736844947457,CBS,If you haven't started singing,0.0,0.0,1.0,0.0,50,Mon Jun 11 00:31:28 +0000 2018
150,1005969788911276032,CBS,RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,0.3612,0.263,0.737,0.0,51,Mon Jun 11 00:27:42 +0000 2018
151,1005969613069275136,CBS,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,0.8908,0.57,0.43,0.0,52,Mon Jun 11 00:27:00 +0000 2018
152,1005968989724405760,CBS,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,0.0,0.0,1.0,0.0,53,Mon Jun 11 00:24:31 +0000 2018
153,1005968419072557056,CBS,Representing the hardest,0.0,0.0,1.0,0.0,54,Mon Jun 11 00:22:15 +0000 2018
154,1005968418581852160,CBS,RT @misschae: I love theatre so much. #TonyAwards,0.6369,0.412,0.588,0.0,55,Mon Jun 11 00:22:15 +0000 2018
155,1005967414159278080,CBS,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. ,0.0,0.0,1.0,0.0,56,Mon Jun 11 00:18:16 +0000 2018
156,1005966205054619648,CBS,RT @MichaelJMoritz: ,0.6369,0.244,0.756,0.0,57,Mon Jun 11 00:13:27 +0000 2018
157,1005965967711657985,CBS,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,0.8834,0.563,0.437,0.0,58,Mon Jun 11 00:12:31 +0000 2018
